claim_id	section	figure	metric	dataset	task	n	estimate	comparison_value	difference	ci_low	ci_high	metric_space	direction_definition	source_table	source_row	status
F2_Replogle_K562_R-L1_GEARS_Top5	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top5	Replogle_GEARS_filtered	Replogle K562 R-L1 GEARS	216	0.0417					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	5	AUTHORITATIVE_FROZEN
F2_Replogle_RPE1_R-L1_GEARS_raw_Pearson	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	raw Pearson	Replogle_GEARS_filtered	Replogle RPE1 R-L1 GEARS	308	0.9709			0.9690	0.9727	gears_raw	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	6	AUTHORITATIVE_FROZEN
F2_Replogle_RPE1_R-L1_GEARS_MRR	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	MRR	Replogle_GEARS_filtered	Replogle RPE1 R-L1 GEARS	308	0.0209					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	6	AUTHORITATIVE_FROZEN
F2_Replogle_RPE1_R-L1_GEARS_Top1	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top1	Replogle_GEARS_filtered	Replogle RPE1 R-L1 GEARS	308	0.0000					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	6	AUTHORITATIVE_FROZEN
F2_Replogle_RPE1_R-L1_GEARS_Top5	Results: Global agreement and perturbation retrieval diverge across datasets	Figure 2	Top5	Replogle_GEARS_filtered	Replogle RPE1 R-L1 GEARS	308	0.0162					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/norman_replogle_rl1_comparison.csv	6	AUTHORITATIVE_FROZEN
F3_K562_B1_global_perturbed_mean_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	K562 R-L1-K562 B1_global_perturbed_mean	216	0.3869			0.3614	0.4099	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	3	AUTHORITATIVE_FROZEN
F3_K562_B1_global_perturbed_mean_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	K562 R-L1-K562 B1_global_perturbed_mean	216	0.0274					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	3	AUTHORITATIVE_FROZEN
F3_K562_FP1_perturbation_blind_mean_effect_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	K562 R-L1-K562 FP1_perturbation_blind_mean_effect	216	0.3869			0.3614	0.4099	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	7	AUTHORITATIVE_FROZEN
F3_K562_FP1_perturbation_blind_mean_effect_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	K562 R-L1-K562 FP1_perturbation_blind_mean_effect	216	0.0274					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	7	AUTHORITATIVE_FROZEN
F3_K562_FP3_label_shuffled_mean_effect_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	K562 R-L1-K562 FP3_label_shuffled_mean_effect	216	0.1532			0.1302	0.1764	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	8	AUTHORITATIVE_FROZEN
F3_K562_FP3_label_shuffled_mean_effect_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	K562 R-L1-K562 FP3_label_shuffled_mean_effect	216	0.0335					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	8	AUTHORITATIVE_FROZEN
F3_K562_GEARS_cell_gears_0.1.2_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	K562 R-L1-K562 GEARS_cell_gears_0.1.2	216	0.2840			0.2558	0.3107	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	9	AUTHORITATIVE_FROZEN
F3_K562_GEARS_cell_gears_0.1.2_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	K562 R-L1-K562 GEARS_cell_gears_0.1.2	216	0.0497					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	9	AUTHORITATIVE_FROZEN
F3_RPE1_B1_global_perturbed_mean_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 B1_global_perturbed_mean	308	0.6349			0.6043	0.6633	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	11	AUTHORITATIVE_FROZEN
F3_RPE1_B1_global_perturbed_mean_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 B1_global_perturbed_mean	308	0.0204					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	11	AUTHORITATIVE_FROZEN
F3_RPE1_FP1_perturbation_blind_mean_effect_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 FP1_perturbation_blind_mean_effect	308	0.6349			0.6043	0.6633	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	15	AUTHORITATIVE_FROZEN
F3_RPE1_FP1_perturbation_blind_mean_effect_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 FP1_perturbation_blind_mean_effect	308	0.0204					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	15	AUTHORITATIVE_FROZEN
F3_RPE1_FP3_label_shuffled_mean_effect_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 FP3_label_shuffled_mean_effect	308	0.3865			0.3571	0.4148	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	16	AUTHORITATIVE_FROZEN
F3_RPE1_FP3_label_shuffled_mean_effect_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 FP3_label_shuffled_mean_effect	308	0.0190					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	16	AUTHORITATIVE_FROZEN
F3_RPE1_GEARS_cell_gears_0.1.2_audit-delta_Pearson	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	audit-delta Pearson	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 GEARS_cell_gears_0.1.2	308	0.4616			0.4345	0.4878	audit_delta	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	17	AUTHORITATIVE_FROZEN
F3_RPE1_GEARS_cell_gears_0.1.2_MRR	Results: Probe controls identify endpoints driven by shared response structure	Figure 3	MRR	Replogle_GEARS_filtered	RPE1 R-L1-RPE1 GEARS_cell_gears_0.1.2	308	0.0262					native candidate retrieval	higher indicates stronger endpoint agreement/retrieval	results/tables/replogle_gears_vs_probes.csv	17	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_pearson_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	pearson delta	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.2812	-0.0070	0.2883	0.2559	0.3206	audit_delta	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	2	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_spearman_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	spearman delta	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.2004	-0.0049	0.2053	0.1798	0.2309	audit_delta	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	3	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_rmse_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	rmse delta	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0856	0.1633	0.0777	0.0692	0.0856	audit_delta	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	4	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_cosine_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	cosine delta	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.2756	-0.0417	-0.3173	-0.3497	-0.2840	audit_delta	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	5	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_retrieval_top1_native	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top1 native	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0200	0.0067	0.0133	-0.0133	0.0400	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	6	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_retrieval_top5_native	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top5 native	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0733	0.0200	0.0533	0.0067	0.1000	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	7	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_retrieval_mrr_native	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval mrr native	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0574	0.0162	0.0413	0.0135	0.0700	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	8	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_retrieval_top1_common_candidate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top1 common candidate	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0200	0.0133	0.0067	-0.0267	0.0333	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	9	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_retrieval_top5_common_candidate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top5 common candidate	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0800	0.0400	0.0400	-0.0133	0.0933	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	10	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_retrieval_mrr_common_candidate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval mrr common candidate	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.0657	0.0447	0.0209	-0.0130	0.0536	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	11	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_uer20	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	uer20	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.1370	0.3670	0.2300	0.2037	0.2550	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	12	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_uer50	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	uer50	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.1532	0.3877	0.2345	0.2128	0.2547	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	13	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_uer100	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	uer100	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.1846	0.4103	0.2257	0.2062	0.2453	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	14	AUTHORITATIVE_FROZEN
F4_GEARS_K562_within_vs_K562_to_RPE1_sign_flip_rate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	sign flip rate	Replogle_GEARS_filtered	K562_within_vs_K562_to_RPE1	150	0.2714	0.5718	0.3005	0.2715	0.3291	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	15	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_pearson_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	pearson delta	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.5501	0.0021	0.5480	0.5146	0.5802	audit_delta	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	16	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_spearman_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	spearman delta	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.4419	0.0007	0.4412	0.4111	0.4698	audit_delta	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	17	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_rmse_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	rmse delta	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.1191	0.1623	0.0431	0.0350	0.0512	audit_delta	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	18	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_cosine_delta	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	cosine delta	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.5478	-0.0001	-0.5479	-0.5810	-0.5140	audit_delta	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	19	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_retrieval_top1_native	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top1 native	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0203	0.0000	0.0203	0.0000	0.0473	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	20	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_retrieval_top5_native	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top5 native	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0405	0.0068	0.0338	0.0000	0.0676	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	21	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_retrieval_mrr_native	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval mrr native	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0435	0.0096	0.0340	0.0123	0.0593	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	22	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_retrieval_top1_common_candidate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top1 common candidate	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0203	0.0068	0.0135	-0.0135	0.0405	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	23	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_retrieval_top5_common_candidate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval top5 common candidate	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0473	0.0338	0.0135	-0.0338	0.0608	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	24	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_retrieval_mrr_common_candidate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	retrieval mrr common candidate	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0506	0.0395	0.0111	-0.0174	0.0400	endpoint specific	within_minus_cross	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	25	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_uer20	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	uer20	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0551	0.4213	0.3662	0.3446	0.3872	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	26	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_uer50	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	uer50	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0695	0.4655	0.3961	0.3765	0.4147	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	27	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_uer100	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	uer100	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.0819	0.4677	0.3858	0.3698	0.4011	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	28	AUTHORITATIVE_FROZEN
F4_GEARS_RPE1_within_vs_RPE1_to_K562_sign_flip_rate	Results: Matched-target GEARS analysis shows strong context-transfer degradation	Figure 4	sign flip rate	Replogle_GEARS_filtered	RPE1_within_vs_RPE1_to_K562	148	0.1207	0.4951	0.3744	0.3542	0.3933	endpoint specific	cross_minus_within	results/tables/replogle_matched_rl1_rl4_sensitivity.csv	29	AUTHORITATIVE_FROZEN
F5_STATE_pearson_delta	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	pearson delta	Replogle_GEARS_filtered	STATE matched K562 R-L1 vs K562-to-RPE1 R-L4	15	0.2955	0.1792	0.1163	0.0684	0.1599	audit_delta	source/within minus cross in frozen table; burden endpoints are direction-aligned for display	results/tables/state_transfer_drop.csv	2	AUTHORITATIVE_FROZEN
F5_STATE_spearman_delta	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	spearman delta	Replogle_GEARS_filtered	STATE matched K562 R-L1 vs K562-to-RPE1 R-L4	15	0.2240	0.1531	0.0709	0.0261	0.1110	audit_delta	source/within minus cross in frozen table; burden endpoints are direction-aligned for display	results/tables/state_transfer_drop.csv	3	AUTHORITATIVE_FROZEN
F5_STATE_cosine_delta	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	cosine delta	Replogle_GEARS_filtered	STATE matched K562 R-L1 vs K562-to-RPE1 R-L4	15	0.3025	0.1977	0.1048	0.0529	0.1533	audit_delta	source/within minus cross in frozen table; burden endpoints are direction-aligned for display	results/tables/state_transfer_drop.csv	4	AUTHORITATIVE_FROZEN
F5_STATE_uer50	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	uer50	Replogle_GEARS_filtered	STATE matched K562 R-L1 vs K562-to-RPE1 R-L4	15	0.1387	0.1667	-0.0280	-0.0640	0.0107	endpoint specific	source/within minus cross in frozen table; burden endpoints are direction-aligned for display	results/tables/state_transfer_drop.csv	5	AUTHORITATIVE_FROZEN
F5_STATE_sign_flip_rate	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	sign flip rate	Replogle_GEARS_filtered	STATE matched K562 R-L1 vs K562-to-RPE1 R-L4	15	0.2581	0.3139	-0.0557	-0.1000	-0.0104	endpoint specific	source/within minus cross in frozen table; burden endpoints are direction-aligned for display	results/tables/state_transfer_drop.csv	6	AUTHORITATIVE_FROZEN
F5_STATE_common_candidate_MRR_S3_replogle_k562_rl1	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	common-candidate MRR	Replogle_GEARS_filtered	S3_replogle_k562_rl1	15	0.2594					common-candidate retrieval	higher indicates stronger retrieval among the same 15 candidates	results/tables/state_matched_common_candidate_retrieval_summary.tsv	2	AUTHORITATIVE_FROZEN
F5_STATE_common_candidate_MRR_S4_replogle_k562_to_rpe1_rl4	Results: Independent STATE analysis provides partial cross-architecture support	Figure 5	common-candidate MRR	Replogle_GEARS_filtered	S4_replogle_k562_to_rpe1_rl4	15	0.2212					common-candidate retrieval	higher indicates stronger retrieval among the same 15 candidates	results/tables/state_matched_common_candidate_retrieval_summary.tsv	3	AUTHORITATIVE_FROZEN
