run_id,space,perturbation,n_pred_cells,n_real_cells,pearson_delta,spearman_delta,rmse_delta,mae_delta,cosine_delta,uer20,uer50,uer100,sign_flip_rate,null_source,null_status,bns_status
S1_norman_l1,audit_delta,CEBPB+FOSB,85,85,0.17203928530216217,0.1441486136262692,0.14738750457763672,0.04741375520825386,0.16902559995651245,0.0,0.0,0.01,0.3952569169960474,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPE+ETS2,320,320,0.04569890350103378,0.13522744823315763,0.09507643431425095,0.026900576427578926,0.048422157764434814,0.0,0.0,0.0,0.38735177865612647,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPE+SET,529,529,0.10583682358264923,0.10735310949983783,0.06859210133552551,0.019122380763292313,0.10594874620437622,0.0,0.0,0.0,0.42292490118577075,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CEBPE+SPI1,175,175,0.2422531247138977,0.12892907009968635,0.1585942655801773,0.05071071535348892,0.24029862880706787,0.0,0.0,0.0,0.34782608695652173,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CLDN6,281,281,0.7476600408554077,0.3118959644063115,0.04729750007390976,0.014007984660565853,0.7476696968078613,0.0,0.0,0.0,0.07114624505928854,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CNN1+ETS2,785,785,0.5103603601455688,0.22978245707529668,0.038428984582424164,0.01175529882311821,0.5105670094490051,0.0,0.0,0.0,0.22529644268774704,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,CNN1+UBASH3B,355,355,0.7203173637390137,0.27626256205490657,0.0905151516199112,0.022678721696138382,0.7173337936401367,0.0,0.0,0.0,0.10276679841897234,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,COL2A1,247,247,0.058628618717193604,0.11937340112113462,0.07791483402252197,0.021968059241771698,0.05997145175933838,0.0,0.0,0.0,0.38735177865612647,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,DUSP9,662,662,0.6762803196907043,0.2574866998634884,0.059109143912792206,0.01670842245221138,0.6758954524993896,0.0,0.0,0.01,0.16600790513833993,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,DUSP9+KLF1,320,320,0.5987145900726318,0.2512569770944222,0.08646522462368011,0.020898250862956047,0.5990521907806396,0.0,0.0,0.0,0.14624505928853754,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,ELMSAN1+MAP2K3,484,484,-0.07085473835468292,-0.062337465940841975,0.06649952381849289,0.02071765810251236,-0.07056879997253418,0.0,0.0,0.0,0.616600790513834,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,FOSB,502,502,0.04633228853344917,0.12915234131164033,0.05476465821266174,0.016513053327798843,0.051937222480773926,0.0,0.0,0.02,0.391304347826087,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,FOXA1,335,335,0.6429184079170227,0.26968734355902735,0.029626084491610527,0.010700780898332596,0.6431068778038025,0.0,0.0,0.01,0.11067193675889328,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,FOXA1+HOXB9,266,266,0.6911717653274536,0.3169809397894416,0.06598415225744247,0.02275889739394188,0.6907380223274231,0.0,0.0,0.0,0.09881422924901186,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,HK2,249,249,0.45171186327934265,0.13353603713685577,0.04092412069439888,0.014065994881093502,0.4505192041397095,0.0,0.0,0.0,0.28063241106719367,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,HOXB9,256,256,0.4742788076400757,0.23963388677113145,0.04181123897433281,0.013583728112280369,0.47478896379470825,0.0,0.0,0.0,0.2015810276679842,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,HOXC13,151,151,0.7428030967712402,0.3530743197863526,0.05042966827750206,0.017620963975787163,0.7419599890708923,0.0,0.0,0.0,0.08695652173913043,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,IGDCC3,223,223,0.7023866176605225,0.25499322906924077,0.03846137598156929,0.012600993737578392,0.7019205093383789,0.0,0.0,0.0,0.16205533596837945,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,IGDCC3+ZBTB25,99,99,0.7607051134109497,0.2738439289787177,0.06706918776035309,0.021221956238150597,0.7608839273452759,0.0,0.0,0.0,0.10276679841897234,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,KIF2C,270,270,0.2900865077972412,0.10491185584898158,0.03709037974476814,0.01241863053292036,0.28995490074157715,0.0,0.0,0.01,0.2964426877470356,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,KLF1+MAP2K6,222,222,0.24213790893554688,0.019001917832915934,0.06252262741327286,0.02014577016234398,0.2431478500366211,0.0,0.02,0.02,0.5454545454545454,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,KMT2A,185,185,0.4792342185974121,0.20000324086443452,0.0319850817322731,0.011098061688244343,0.4793321490287781,0.0,0.0,0.0,0.23715415019762845,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,MAML2,508,508,-0.17369143664836884,-0.07316568986396052,0.041902534663677216,0.014502817764878273,-0.17432951927185059,0.0,0.0,0.02,0.6245059288537549,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,MAP4K3,299,299,0.645343542098999,0.17688079447360203,0.02803865075111389,0.010398559272289276,0.6445586681365967,0.0,0.0,0.0,0.18181818181818182,median_abs_audit_delta,sensitivity_only,UNVERIFIED
S1_norman_l1,audit_delta,OSR2,407,407,0.21766085922718048,0.23980679842012456,0.06407098472118378,0.019318394362926483,0.22324049472808838,0.0,0.0,0.0,0.308300395256917,median_abs_audit_delta,sensitivity_only,UNVERIFIED
