Run	ReleaseDate	LoadDate	spots	bases	spots_with_mates	avgLength	size_MB	AssemblyName	download_path	Experiment	LibraryName	LibraryStrategy	LibrarySelection	LibrarySource	LibraryLayout	InsertSize	InsertDev	Platform	Model	SRAStudy	BioProject	Study_Pubmed_id	ProjectID	Sample	BioSample	SampleType	TaxID	ScientificName	SampleName	g1k_pop_code	source	g1k_analysis_group	Subject_ID	Sex	Disease	Tumor	Affection_Status	Analyte_Type	Histological_Type	Body_Site	CenterName	Submission	dbgap_study_accession	Consent	RunHash	ReadHash	library_modality	lane	sample_index	pool
SRR19330521	2022-05-20 11:58:39	2022-05-20 11:56:52	30399570	3830345820	30399570	126	1154		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330521/SRR19330521.lite.1	SRX15390206	KD6_seq1_essential_mRNA_lane_47_S71_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	3D77243D109EDCBC413AA1E1E3A581FF	953D5CAC2C7AE41F73CD76EBCA0AD1C3	mRNA	47	S71	UNKNOWN
SRR19330522	2022-05-20 12:02:56	2022-05-20 12:00:51	33268693	4191855318	33268693	126	1260		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330522/SRR19330522.lite.1	SRX15390205	KD6_seq1_essential_mRNA_lane_47_S95_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	45436E296A81020E5B1C907BE2191780	50A9C5B076CCD3AC3B0CB26D4E525050	mRNA	47	S95	UNKNOWN
SRR19330523	2022-05-20 12:05:47	2022-05-20 12:02:29	33255135	4190147010	33255135	126	1277		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330523/SRR19330523.lite.1	SRX15390204	KD6_seq1_essential_mRNA_lane_47_S95_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	564564269059C711D83B5C88C7C316DF	F4164ECA699B3CED65A33C793C5665B8	mRNA	47	S95	UNKNOWN
SRR19330524	2022-05-20 12:03:17	2022-05-20 12:01:56	33173012	4179799512	33173012	126	1252		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330524/SRR19330524.lite.1	SRX15390203	KD6_seq1_essential_mRNA_lane_47_S95_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	9EA0BD193235F052CFC49F88DE1C04DE	B68FCE03F9BF844A0E77A0C9C3AE4E3D	mRNA	47	S95	UNKNOWN
SRR19330525	2022-05-20 12:05:47	2022-05-20 12:03:03	32794036	4132048536	32794036	126	1233		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19330/SRR19330525/SRR19330525.lite.1	SRX15390202	KD6_seq1_essential_mRNA_lane_47_S95_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	A0DEA7494AA669B76DD61D0827525CAD	28DB6C55010AE14C243624DD165F67C4	mRNA	47	S95	UNKNOWN
SRR19330526	2022-05-20 12:05:47	2022-05-20 12:03:07	48634601	6127959726	48634601	126	1843		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR019/19330/SRR19330526/SRR19330526.lite.1	SRX15390201	KD6_seq1_essential_mRNA_lane_41_S65_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	332B22E0A26C783280533E55001AE416	41D0D4E922A5880DFAF4C656EF6004F5	mRNA	41	S65	UNKNOWN
SRR19330527	2022-05-20 12:03:17	2022-05-20 12:01:49	48779300	6146191800	48779300	126	1849		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR019/19330/SRR19330527/SRR19330527.lite.1	SRX15390200	KD6_seq1_essential_mRNA_lane_41_S65_L003	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	B8A4AA57669315EFF685BFA69EF77F14	2883DD8EB63CC5325C3679FCC82D3B29	mRNA	41	S65	UNKNOWN
SRR19330528	2022-05-20 12:41:13	2022-05-20 12:38:59	48461016	6106088016	48461016	126	1826		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19330/SRR19330528/SRR19330528.lite.1	SRX15390199	KD6_seq1_essential_mRNA_lane_41_S65_L002	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	F8EAA004B33113EE99AC1803FE73217F	1BB75FDCF4EE1D7EDF4F4EDBB8D48E04	mRNA	41	S65	UNKNOWN
SRR19330529	2022-05-20 12:38:34	2022-05-20 12:30:52	49178457	6196485582	49178457	126	1832		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos13/sra-pub-zq-1301/SRR019/19330/SRR19330529/SRR19330529.lite.1	SRX15390198	KD6_seq1_essential_mRNA_lane_41_S65_L001	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	2E43535F8A4C2022DC81C87EA05C9A9E	B2DDA14120B0A58FD4F22BF2CDAD5103	mRNA	41	S65	UNKNOWN
SRR19330530	2022-05-20 12:17:42	2022-05-20 12:09:58	56039126	7060929876	56039126	126	2118		https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR019/19330/SRR19330530/SRR19330530.lite.1	SRX15390197	KD6_seq1_essential_mRNA_lane_41_S89_L004	OTHER	size fractionation	TRANSCRIPTOMIC	PAIRED	0	0	ILLUMINA	Illumina NovaSeq 6000	SRP376262	PRJNA831566		831566	SRS13118565	SAMN28561243	simple	9606	Homo sapiens	K562_day_6_essential_scale					female		no					WHITEHEAD INSTITUTE / UCSF	SRA1423548		public	3EA5E92A443264BFE4F4BB615FE7535A	F0847CE3EBCE536756982E00ACB30B8C	mRNA	41	S89	UNKNOWN
