symbol,approved_name,hgnc_id,gene_group,gene_group_id,annotation_status
SNAI1,snail family transcriptional repressor 1,HGNC:11128,SNAG transcriptional repressors,1259,ANNOTATED_HGNC_GROUP
SNAI1,snail family transcriptional repressor 1,HGNC:11128,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
SPI1,Spi-1 proto-oncogene,HGNC:11241,ETS transcription factor family,534,ANNOTATED_HGNC_GROUP
STIL,STIL centriolar assembly protein,HGNC:10879,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
TBX2,T-box transcription factor 2,HGNC:11597,T-box transcription factors,766,ANNOTATED_HGNC_GROUP
TBX3,T-box transcription factor 3,HGNC:11602,T-box transcription factors,766,ANNOTATED_HGNC_GROUP
TGFBR2,transforming growth factor beta receptor 2,HGNC:11773,Type 2 receptor serine/threonine kinases,346,ANNOTATED_HGNC_GROUP
TMSB4X,thymosin beta 4 X-linked,HGNC:11881,Thymosin beta family,3784,ANNOTATED_HGNC_GROUP
TP73,tumor protein p73,HGNC:12003,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
TSC22D1,TSC22 domain family member 1,HGNC:16826,TSC22 domain family,3721,ANNOTATED_HGNC_GROUP
UBASH3A,ubiquitin associated and SH3 domain containing A,HGNC:12462,UNANNOTATED,UNANNOTATED,UNANNOTATED_HGNC_GROUP
UBASH3B,ubiquitin associated and SH3 domain containing B,HGNC:29884,Protein phosphatases,703,ANNOTATED_HGNC_GROUP
ZBTB1,zinc finger and BTB domain containing 1,HGNC:20259,BTB domain containing,861,ANNOTATED_HGNC_GROUP
ZBTB1,zinc finger and BTB domain containing 1,HGNC:20259,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
ZBTB10,zinc finger and BTB domain containing 10,HGNC:30953,BTB domain containing,861,ANNOTATED_HGNC_GROUP
ZBTB10,zinc finger and BTB domain containing 10,HGNC:30953,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
ZBTB25,zinc finger and BTB domain containing 25,HGNC:13112,BTB domain containing,861,ANNOTATED_HGNC_GROUP
ZBTB25,zinc finger and BTB domain containing 25,HGNC:13112,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1",HGNC:23721,Poly(ADP-ribose) polymerases,684,ANNOTATED_HGNC_GROUP
ZC3HAV1,"zinc finger CCCH-type containing, antiviral 1",HGNC:23721,Zinc fingers CCCH-type,73,ANNOTATED_HGNC_GROUP
ZNF318,zinc finger protein 318,HGNC:13578,Zinc fingers C2H2-type,28,ANNOTATED_HGNC_GROUP
ZNF318,zinc finger protein 318,HGNC:13578,Zinc fingers matrin-type,84,ANNOTATED_HGNC_GROUP
